Wed Jul  3 18:57:24 2024    profile.log

         15698096 function calls (15697873 primitive calls) in 111.642 seconds

   Ordered by: cumulative time per call

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:1266(ZipFile)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1611(_BaseV6)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:651(cache)
    46246    0.264    0.000    0.766    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:424(__call__)
       55    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\enum.py:1562(__and__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\urllib\parse.py:152(_NetlocResultMixinBase)
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_parser.py:98(closegroup)
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:396(__getitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1332(__init__)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:518(decorating_function)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ctypes\__init__.py:509(PYFUNCTYPE)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
       52    0.000    0.000    0.001    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:67(__call__)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1139(_BaseV4)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:2150(IPv6Interface)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\_path\__init__.py:175(Path)
       50    0.000    0.000    0.001    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:15(__init__)
       11    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\functools.py:35(update_wrapper)
       34    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1651(_ip_int_from_string)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(__iter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\ipaddress.py:1420(IPv4Interface)
      410    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\__init__.py:341(_sanitize_filename)
        1    0.000    0.000    0.000    0.000 C:\Users\Valentina\risc-v\devices\cpu\__init__.py:14(CPU)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\bz2.py:26(BZ2File)
      2/1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\re\_compiler.py:436(_get_literal_prefix)
   714474    2.515    0.000    5.938    0.000 C:\Users\Valentina\risc-v\devices\memory\address_bus.py:16(read)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
    10474    0.062    0.000    0.085    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:34(__call__)
    55763    0.287    0.000    0.450    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:338(__call__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     9431    0.060    0.000    0.074    0.000 C:\Users\Valentina\risc-v\devices\cpu\instructions.py:51(__call__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python312\Lib\zipfile\_path\__init__.py:86(CompleteDirs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.000    0.000 <frozen os>:1116(__subclasshook__)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
